"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 25 10:04:34 GMT 2023","Sun Jun 25 10:04:34 GMT 2023","53","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸分类&素材","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸分类&素材.TestDispatcher#test_api","00003_""公共部分-1"":2组数据比较"
"passed","Sun Jun 25 10:09:19 GMT 2023","Sun Jun 25 10:09:20 GMT 2023","243","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸分类&素材","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸分类&素材.TestDispatcher#test_api","00024_""贴纸包vip状态"":2组数据比较"
"failed","Sun Jun 25 10:04:25 GMT 2023","Sun Jun 25 10:04:25 GMT 2023","120","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸详情","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸详情.TestDispatcher#test_api","00630_""统计贴纸数量"":2组数据比较"
"passed","Sun Jun 25 10:08:37 GMT 2023","Sun Jun 25 10:08:37 GMT 2023","278","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸分类&素材","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸分类&素材.TestDispatcher#test_api","00017_""素材部分-1"":2组数据比较"
"passed","Sun Jun 25 10:09:23 GMT 2023","Sun Jun 25 10:09:23 GMT 2023","56","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸分类&素材","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸分类&素材.TestDispatcher#test_api","00041_""分类部分-2"":2组数据比较"
"failed","Sun Jun 25 10:04:23 GMT 2023","Sun Jun 25 10:04:23 GMT 2023","92","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸详情","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸详情.TestDispatcher#test_api","00616_""贴纸zip  MD5"":2组数据比较"
"failed","Sun Jun 25 10:04:24 GMT 2023","Sun Jun 25 10:04:24 GMT 2023","98","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸详情","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸详情.TestDispatcher#test_api","00619_""详情部分-7"":2组数据比较"
"failed","Sun Jun 25 10:04:26 GMT 2023","Sun Jun 25 10:04:26 GMT 2023","125","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸详情","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸详情.TestDispatcher#test_api","00635_""贴纸icon AB-gid"":2组数据比较"
"failed","Sun Jun 25 10:04:36 GMT 2023","Sun Jun 25 10:08:36 GMT 2023","240018","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸分类&素材","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸分类&素材.TestDispatcher#test_api","00011_""icon图"":2组数据比较"
"passed","Sun Jun 25 10:08:38 GMT 2023","Sun Jun 25 10:08:38 GMT 2023","272","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸分类&素材","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸分类&素材.TestDispatcher#test_api","00019_""素材部分-3"":2组数据比较"
"failed","Sun Jun 25 10:09:22 GMT 2023","Sun Jun 25 10:09:23 GMT 2023","859","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸分类&素材","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸分类&素材.TestDispatcher#test_api","00037_""分类ICON图"":2组数据比较"
"failed","Sun Jun 25 10:04:22 GMT 2023","Sun Jun 25 10:04:22 GMT 2023","92","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸详情","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸详情.TestDispatcher#test_api","00608_""贴纸id"":2组数据比较"
"passed","Sun Jun 25 10:04:22 GMT 2023","Sun Jun 25 10:04:22 GMT 2023","24","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸详情","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸详情.TestDispatcher#test_api","00607_""详情部分-13"":2组数据比较"
"passed","Sun Jun 25 10:08:36 GMT 2023","Sun Jun 25 10:08:36 GMT 2023","249","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸分类&素材","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸分类&素材.TestDispatcher#test_api","00013_""主题贴纸类型"":2组数据比较"
"passed","Sun Jun 25 10:09:22 GMT 2023","Sun Jun 25 10:09:22 GMT 2023","79","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸分类&素材","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸分类&素材.TestDispatcher#test_api","00032_""贴纸分类id"":2组数据比较"
"passed","Sun Jun 25 10:04:35 GMT 2023","Sun Jun 25 10:04:35 GMT 2023","66","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸分类&素材","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸分类&素材.TestDispatcher#test_api","00007_""公共部分-5"":2组数据比较"
